Term	Translation
Shaped	有序
Shaped Crafting	有序合成
Shaped Recipe	有序配方
Shapeless	无序
Shapeless Crafting	无序合成
Shapeless Recipe	无序配方
Recipe	配方
Crafting	合成
Smelt（概括）	烧炼
Smelt（矿物）	冶炼
Smelt（普通）	烧制
Smelt（食物）	烹饪
Breaking	破坏
Breeding	繁殖
Brewing	酿造
Farming	耕种
Blocking	防御
Dual wield	双持
Sneaking	潜行
Sprinting	疾跑
Item durability	物品耐久
Durability	耐久/耐久度
Experience Level	经验等级
Experience Point/EXP/XP	经验值
Experience	经验
Oxygen/Air	氧气值
Ore Dictionary(OreDict)	矿物词典
Coordinates	坐标
Tag	标签
Named Binary Tag/NBT	NBT/NBT格式
Data Values	数据值
Target Selector	目标选择器
Feature（地形特征）	地物
Advancement	进度
Achievement	成就
Particle	粒子
Glint	光效
Command	命令
Toast	弹窗
Actionbar	动作栏
Client	客户端
Server	服务端，服务器
Main Hand	主手
Off Hand	副手
